Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,2,1,—,—,—,1.3,1
2,Bijan Robinson   ATL (11),RB2,2,1,2,—,—,—,1.7,2
3,Ja'Marr Chase   CIN (6),WR1,4,3,3,—,—,—,3.3,3
4,Puka Nacua   LAR (11),WR2,3,4,4,—,—,—,3.7,4
5,Jaxon Smith-Njigba   SEA (11),WR3,5,5,5,—,—,—,5.0,5
6,Christian McCaffrey   SF (8),RB3,6,6,8,—,—,—,6.7,6
7,Jonathan Taylor   IND (13),RB4,8,7,6,—,—,—,7.0,8
8,Amon-Ra St. Brown   DET (6),WR4,7,10,7,—,—,—,8.0,7
9,CeeDee Lamb   DAL (14),WR5,9,9,11,—,—,—,9.7,10
10,James Cook III   BUF (7),RB5,12,8,10,—,—,—,10.0,9
11,De'Von Achane   MIA (6),RB6,11,15,9,—,—,—,11.7,14
12,Justin Jefferson   MIN (6),WR6,10,11,15,—,—,—,12.0,11
13,Ashton Jeanty   LV (13),RB7,14,14,13,—,—,—,13.7,12
14,Drake London   ATL (11),WR7,17,12,14,—,—,—,14.3,17
15,Saquon Barkley   PHI (10),RB8,13,19,16,—,—,—,16.0,15
16,Omarion Hampton   LAC (7),RB9,19,17,17,—,—,—,17.7,13
17,Trey McBride   ARI (14),TE1,16,16,26,—,—,—,19.3,20
18,Chase Brown   CIN (6),RB10,25,23,12,—,—,—,20.0,18
19,Derrick Henry   BAL (13),RB11,18,25,18,—,—,—,20.3,21
20,Kenneth Walker III   KC (5),RB12,28,13,23,—,—,—,21.3,16
21,Jeremiyah Love   ARI (14),RB13,15,20,29,—,—,—,21.3,24
22,Brock Bowers   LV (13),TE2,22,21,25,—,—,—,22.7,22
23,Nico Collins   HOU (8),WR8,26,22,21,—,—,—,23.0,23
24,George Pickens   DAL (14),WR9,27,24,20,—,—,—,23.7,25
25,Rashee Rice   KC (5),WR10,21,33,19,—,—,—,24.3,26
